立委姓名,資料準備充分,質詢內容考證嚴謹,提出專業見解,熟悉質詢對象業務與權責,關注公眾利益,關注公平正義或弱勢權益,沒有為行政部門護航,不為強權財團發聲,質詢內容緊扣主題,就主題具體指出問題癥結點,就主題提出具體建議,有要求行政機關後續的改善保證,質詢時間掌握得宜,質詢內容無歧視或人身攻擊言行,質詢內容條理清楚、不矛盾,讓官員有適當的答詢空間
王育敏,4,3,4,4,4,3,4,4,3,3,3,3,4,3,3,3
王育敏,5,4,4,2,3,5,4,5,4,4,4,4,4,4,4,4
王育敏,5,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4
王育敏,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
王育敏,3,4,4,3,3,4,3,4,4,3,3,4,4,4,3,3
王育敏,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
王育敏,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4
王育敏,4,4,4,2,5,4,4,5,4,5,4,4,4,4,5,5
王育敏,5,4,5,4,4,4,5,5,5,5,5,5,4,4,4,4
王育敏,4,5,5,3,5,5,5,5,5,5,5,5,4,4,4,4
王育敏,4,5,5,3,4,4,4,4,5,5,3,3,3,4,4,4
王育敏,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
王育敏,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5
王育敏,5,5,5,4,3,3,4,5,5,5,4,4,4,3,3,4
王育敏,2,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4
王育敏,5,4,5,5,4,3,3,5,4,4,5,3,5,3,3,3
王育敏,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
王育敏,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4
王惠美,4,4,4,3,3,3,4,3,3,4,4,4,3,3,3,3
王惠美,2,2,3,3,3,3,4,4,4,3,3,3,3,3,3,4
王惠美,4,5,5,4,4,4,5,5,5,5,5,4,3,4,4,5
王惠美,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5
王惠美,5,2,5,4,5,5,5,5,5,5,5,5,5,4,5,5
王惠美,2,3,1,1,3,2,2,2,4,4,3,3,1,2,4,4
王惠美,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
王惠美,2,3,2,3,3,3,4,3,4,4,3,3,3,3,3,3
王惠美,4,4,4,4,5,4,4,4,4,4,5,5,5,3,4,4
王惠美,3,4,3,4,3,4,4,4,4,3,4,3,3,4,4,3
王惠美,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
王惠美,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
王惠美,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
王惠美,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
王惠美,5,4,5,3,5,4,4,5,5,4,5,5,5,3,4,4
王惠美,2,3,3,4,2,3,3,3,4,4,3,3,3,3,3,2
王惠美,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
王惠美,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4
王惠美,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
王惠美,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
王惠美,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3
王惠美,4,4,4,3,3,2,3,4,3,3,3,3,3,3,3,4
王惠美,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5
王惠美,2,2,2,4,3,3,2,3,4,4,4,4,3,3,4,4
王惠美,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
王惠美,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
王惠美,1,2,4,4,3,3,4,3,4,3,3,1,2,2,2,3
王惠美,3,5,4,5,4,4,5,4,5,4,5,4,4,5,5,5
王惠美,3,3,3,3,2,3,3,3,3,2,3,3,3,4,3,4
王惠美,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
王惠美,2,3,4,4,5,4,3,5,4,5,5,5,5,3,3,3
王惠美,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
王惠美,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
王惠美,4,4,2,3,4,5,4,2,4,3,4,3,4,4,4,4
王惠美,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
王惠美,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4
王惠美,4,3,4,4,4,3,4,3,3,3,4,3,4,4,3,3
王惠美,3,4,4,3,4,3,5,4,4,3,4,4,3,4,5,5
王惠美,4,5,5,2,3,4,5,5,5,5,5,5,5,4,5,5
王惠美,5,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4
王惠美,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4
王榮璋,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
王榮璋,3,4,4,5,2,2,4,4,5,4,5,5,4,5,4,5
王榮璋,3,4,4,4,3,4,4,4,3,4,3,4,4,3,4,3
王榮璋,1,4,2,1,1,4,5,4,4,4,4,5,4,5,5,5
王榮璋,1,4,2,2,5,4,3,4,4,5,3,4,4,4,4,5
王榮璋,3,3,4,3,3,3,4,4,3,5,4,4,5,4,4,4
王榮璋,3,5,5,4,4,3,3,5,5,5,4,5,5,4,3,4
王榮璋,2,2,2,2,1,4,3,3,5,5,5,5,4,5,4,4
王榮璋,3,4,3,4,4,3,4,4,4,4,3,4,5,4,4,3
王榮璋,2,3,4,5,4,2,2,3,4,4,5,4,3,2,3,3
王榮璋,4,3,3,4,3,4,4,4,4,4,3,3,4,4,4,3
王榮璋,3,3,4,3,3,3,4,3,4,4,3,3,4,3,3,4
王榮璋,3,2,2,3,3,3,3,4,3,3,4,4,3,2,3,3
王榮璋,3,5,5,4,4,4,5,4,5,4,5,5,4,4,4,5
王榮璋,4,5,4,4,4,3,4,4,5,5,5,4,5,4,5,5
王榮璋,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,5
王榮璋,3,4,4,3,4,4,5,4,4,4,5,4,4,4,5,5
王榮璋,3,3,4,3,4,3,3,4,4,4,4,4,4,5,3,4
王榮璋,3,1,5,1,2,2,3,3,4,5,3,4,3,1,1,1
王榮璋,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,4
王榮璋,4,4,4,4,4,4,3,5,4,4,4,4,5,4,5,4
王榮璋,4,4,4,4,4,5,3,5,4,5,5,5,4,5,4,5
王榮璋,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4
王榮璋,4,4,4,3,4,4,4,3,4,3,3,3,4,4,3,4
王榮璋,2,1,3,2,2,1,1,3,3,3,3,3,3,2,3,2
王榮璋,4,2,4,4,3,2,2,3,4,4,4,4,3,2,2,2
王榮璋,4,2,4,2,3,4,3,3,5,5,5,4,3,2,3,2
王榮璋,4,2,4,3,4,4,4,4,4,5,4,4,3,3,2,2
王榮璋,4,2,5,3,2,1,3,2,4,5,3,1,3,2,2,2
江永昌,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
江永昌,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
江永昌,3,3,4,4,2,3,4,4,4,4,3,4,4,3,3,4
江永昌,4,4,5,4,4,3,4,4,4,4,3,3,4,3,4,3
江永昌,2,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3
江永昌,5,4,4,4,3,4,4,4,3,3,3,3,4,3,3,3
江永昌,2,3,4,3,3,3,5,4,5,4,4,4,4,3,4,4
江永昌,4,4,4,4,3,4,4,4,4,4,3,4,3,3,4,3
江永昌,3,3,4,4,2,3,2,3,3,3,3,3,3,2,3,4
江永昌,4,4,5,4,3,4,4,4,4,4,3,3,4,4,4,4
江永昌,3,2,3,3,3,3,4,3,3,4,3,3,3,2,3,2
江永昌,3,3,4,3,3,4,4,4,4,4,3,4,4,3,4,4
江永昌,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
江永昌,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4
江永昌,4,5,5,3,4,3,4,4,4,4,3,3,4,4,4,4
江永昌,2,3,5,2,5,3,4,4,4,4,3,2,4,3,3,4
江永昌,4,4,4,4,4,5,4,4,4,4,5,4,4,5,4,4
江永昌,3,3,4,4,3,3,3,5,4,4,4,3,4,3,4,4
江永昌,1,4,3,2,4,2,3,5,5,2,4,4,4,2,4,5
江永昌,4,4,5,3,3,3,5,4,5,5,4,5,4,4,5,5
江永昌,4,4,3,4,4,3,5,4,5,5,4,5,3,4,5,4
江永昌,4,4,5,4,2,3,4,4,5,5,4,5,4,4,3,3
江永昌,3,4,5,4,5,4,4,5,3,4,5,5,5,5,3,4
江永昌,4,3,4,4,3,3,4,4,4,4,3,4,4,3,4,3
江永昌,5,4,5,5,3,3,5,5,5,5,3,3,4,3,4,4
江永昌,5,5,5,3,5,3,5,5,5,5,4,5,5,3,4,4
江永昌,3,2,5,2,2,1,2,3,5,5,3,3,4,2,1,1
江永昌,4,5,5,4,4,3,4,5,5,5,5,5,4,5,4,4
江永昌,3,4,4,4,4,4,5,4,4,4,3,3,5,3,4,4
江永昌,3,4,4,4,4,4,5,4,4,4,3,3,5,3,4,4
江永昌,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4
江永昌,5,5,5,3,3,3,3,3,3,3,3,3,4,3,4,4
江永昌,1,1,5,3,3,2,4,4,5,5,2,3,4,2,3,2
江永昌,2,4,5,4,3,4,4,4,5,5,3,4,4,4,4,4
江永昌,4,3,4,3,3,4,5,4,4,5,4,4,4,5,4,4
江永昌,5,4,4,4,4,4,3,4,5,4,4,5,4,3,4,4
江永昌,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
江永昌,3,5,5,2,4,2,3,4,5,4,3,4,5,3,4,4
江永昌,1,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4
